date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20221121,61400,5,-400,-0.65,9378097,272148,1114966,-650396,-372403,2980018828,49.92,549834,372718,22788
20221118,61800,2,400,0.65,12236503,-784388,-845640,-217074,922570,2979841397,49.92,-65322,327776,20271
20221117,61400,5,-1300,-2.07,13298296,1735066,1219202,-729522,-1116982,2978984149,49.90,-1249008,367063,22628
20221116,62700,2,300,0.48,12909260,-924484,-1324977,-192963,1242529,2981350139,49.94,-787770,214635,13382
20221115,62400,2,500,0.81,12310986,-794901,-333249,142219,508339,2980895380,49.93,119219,177113,10975
20221114,61900,5,-1000,-1.59,15973416,1023384,-341383,257042,-464532,2980267822,49.92,610367,583419,36180
20221111,62900,2,2500,4.14,20037163,-6136093,-515268,-866647,3828282,2980121987,49.92,-715159,1119176,70204
20221110,60400,5,-1600,-2.58,21087633,3009695,3427897,-1467369,-2522191,2977008864,49.87,-1198343,559367,34109
20221109,62000,2,200,0.32,14045592,-2093780,2420681,899784,-631603,2980729398,49.93,1902128,533136,33034
20221108,61800,2,1600,2.66,18273898,-5046453,1747599,2294724,591847,2979458873,49.91,2188043,419971,25866
20221107,60200,2,800,1.35,12437246,-2233472,1307639,1017637,-83236,2976678983,49.86,1448437,362416,21785
20221104,59400,2,200,0.34,12445841,-18923,798971,369074,-580192,2975313782,49.84,-1027832,523509,30906
20221103,59200,5,-400,-0.67,17492162,988288,-1958605,1905240,-480877,2976921806,49.87,1875740,610546,35823
20221102,59600,5,-400,-0.67,13202919,-33782,-2685484,524897,967852,2975526943,49.84,677803,413966,24707
20221101,60000,2,600,1.01,17201647,-1770450,606726,320876,367564,2973881288,49.82,304545,952040,56987
20221031,59400,2,2100,3.66,18999514,-4321399,-1762138,2146752,2017057,2973209179,49.80,2080327,319992,18954
20221028,57300,5,-2200,-3.70,20924937,1709646,3148451,-258684,-2289802,2969111795,49.74,1149686,583087,33797
20221027,59500,2,100,0.17,21756712,-1675638,2003879,-270808,-78306,2970251911,49.75,49877,1421456,84637
